Customer_ID,Age,Gender,Marital_Status,Occupation,Region,Account_Type,Annual_Income,Account_Tenure,Engagement_Score,Credit_Limit,Products_Held,Total_Investment_Value,Avg_Monthly_Balance,Online_Banking_Score,Complaints_Filed,Overdue_Count,Feedback_Score,Dormancy_Period,Churn
1,42,Female,Single,Salaried,East,Premium,80662,24,56.81,82970,7,284254,64699,54.43,2,3,8.35,3,No
2,23,Male,Other,Student,East,Premium,55107,7,50.5,66036,1,101653,25567,56.84,2,2,10.0,5,No
3,43,Male,Single,Salaried,East,Savings,88310,23,38.45,82797,6,243180,61259,21.64,3,2,6.07,10,No
4,38,Male,Single,Retired,West,Premium,149315,15,43.84,65559,5,185242,49526,26.93,2,4,7.24,0,No
5,38,Male,Single,Salaried,North,Savings,52026,18,82.05,64387,4,223155,52987,83.34,0,3,10.0,1,No
6,48,Female,Single,Salaried,South,Current,52026,15,81.46,58030,4,159518,43403,86.86,0,2,7.92,2,No
7,33,Other,Other,Business,South,Current,154434,25,100.0,101642,6,299449,69170,100.0,0,2,10.0,5,No
8,50,Male,Married,Salaried,Central,Current,94888,24,86.71,91537,8,282928,68946,77.74,1,2,10.0,5,No
9,28,Female,Single,Unemployed,North,Savings,45175,13,72.14,43063,2,135314,42436,67.7,1,3,9.21,3,No
10,58,Male,Married,Student,East,Savings,82912,22,83.5,60594,6,259132,59950,78.68,0,5,10.0,3,No
11,32,Other,Single,Salaried,West,Savings,45340,15,43.66,80496,5,207086,42906,52.76,2,4,6.8,1,No
12,29,Male,Single,Retired,West,Current,45277,0,75.79,56035,1,875,18034,85.09,1,3,9.95,0,No
13,38,Female,Other,Retired,West,Savings,69229,17,62.33,55179,5,191976,47776,63.15,2,2,8.39,0,Yes
14,20,Male,Married,Unemployed,South,Current,18996,26,100.0,25081,6,278935,67034,100.0,0,2,10.0,3,No
15,20,Female,Single,Salaried,East,Savings,21269,17,89.66,29945,4,186975,47453,79.52,0,2,10.0,2,No
16,30,Female,Married,Unemployed,South,Current,42728,0,83.02,24611,1,28372,18213,82.13,0,3,10.0,0,No
17,33,Male,Single,Salaried,West,Savings,32607,16,46.56,55823,2,180184,43339,45.22,2,2,4.81,2,Yes
18,45,Male,Single,Unemployed,South,Savings,72297,19,100.0,76738,4,220723,54720,100.0,0,2,10.0,5,Yes
19,42,Male,Single,Business,Central,Premium,34723,6,61.14,62989,1,59195,25437,57.45,1,5,7.63,3,No
20,32,Male,Married,Business,West,Savings,25658,5,52.8,37685,1,54540,23173,49.8,2,3,7.34,0,No
21,41,Male,Married,Unemployed,South,Premium,144262,12,83.64,96420,3,147569,44493,100.0,1,2,6.89,3,No
22,30,Female,Married,Business,East,Premium,52288,27,35.61,116634,8,289323,66408,23.39,5,4,8.27,20,Yes
23,29,Female,Single,Student,South,Savings,62349,6,46.61,63055,1,83724,21474,61.74,2,2,9.53,4,No
24,24,Male,Single,Salaried,South,Savings,25467,27,49.61,46431,8,295438,61896,44.56,2,2,9.94,1,No
25,34,Female,Married,Salaried,North,Current,43190,23,70.68,61122,6,280732,61155,77.3,3,2,10.0,3,No
26,21,Female,Single,Business,Central,Savings,63994,7,71.03,59396,2,79576,27768,66.89,2,2,9.79,5,No
27,54,Female,Married,Business,North,Current,30013,11,52.8,75321,3,155626,32835,44.46,2,2,8.02,3,No
